0.01 0.701203
0.010975 0.701088
0.012045 0.70096
0.0132194 0.700821
0.0145083 0.700668
0.0159228 0.7005
0.0174753 0.700316
0.0191791 0.700114
0.021049 0.699893
0.0231013 0.69965
0.0253536 0.699383
0.0278256 0.699091
0.0305386 0.69877
0.033516 0.698418
0.0367838 0.698033
0.0403702 0.69761
0.0443062 0.697146
0.048626 0.696638
0.053367 0.696081
0.0585702 0.69547
0.0642807 0.694801
0.070548 0.694067
0.0774264 0.693264
0.0849753 0.692383
0.0932603 0.691419
0.102353 0.690363
0.112332 0.689207
0.123285 0.687942
0.135305 0.686558
0.148497 0.685043
0.162975 0.683387
0.178865 0.681577
0.196304 0.679598
0.215443 0.677437
0.236449 0.675077
0.259502 0.672502
0.284804 0.669694
0.312572 0.666632
0.343047 0.663298
0.376494 0.659668
0.413201 0.65572
0.453488 0.65143
0.497702 0.646773
0.546228 0.641722
0.599484 0.636251
0.657933 0.630331
0.722081 0.623936
0.792483 0.617037
0.869749 0.609607
0.954548 0.601619
1.04762 0.593049
1.14976 0.583874
1.26186 0.574074
1.38489 0.563634
1.51991 0.552543
1.6681 0.540797
1.83074 0.528397
2.00923 0.515355
2.20513 0.501692
2.42013 0.487437
2.65609 0.472635
2.91505 0.45734
3.19927 0.44162
3.51119 0.425557
3.85353 0.409246
4.22924 0.392793
4.64159 0.376318
5.09414 0.359949
5.59081 0.343823
6.13591 0.328083
6.73415 0.312877
7.39072 0.298351
8.11131 0.284653
8.90215 0.271925
9.7701 0.2603
10.7227 0.249902
11.7681 0.240837
12.9155 0.23319
14.1747 0.227017
15.5568 0.222348
17.0735 0.219177
18.7382 0.217475
20.5651 0.217194
22.5702 0.218282
24.7708 0.220692
27.1859 0.224401
29.8365 0.229421
32.7455 0.235811
35.9381 0.243692
39.4421 0.253255
43.2876 0.264784
47.5081 0.278673
52.1401 0.295459
57.2237 0.315865
62.8029 0.340859
68.9261 0.371751
75.6463 0.410325
83.0218 0.459045
91.1163 0.521374
100 0.602257
